hex,Poblacion,PCA,area_m2,Densidad_ha,NSE_5,NSE_3,hex_o,AllTrips_AvgTravelTimeAll_tpubl,AllTrips_AvgTravelTimeAll_tpubl_w,AllTrips_AvgTransfersAll_tpubl,AllTrips_AvgTransfersAll_tpubl_w,AllTrips_AvgTravelTimeAll_car,AllTrips_AvgTravelTimeAll_car_w,AllTrips_TravelTimeDowntown_tpubl,AllTrips_AvgTransfersDowntown_tpubl,AllTrips_TravelTimeDowntown_car,AllTrips_DistanceDowntown_car,AllTrips_TravelTimeDowntown_Difference,rate_tp_car_all,rate_tp_car_Downtown,AllTrips_walk_to_bus_origin_meters_w,AllTrips_walk_to_bus_total_meters_w,EsVe_Area_verdes_ha_2km,EsVe_Area_verdes_ha_800mts,EducInicPriv_QtAvgEst2km,EducInicPriv_QtAvgEst800mts,EducInicPriv_QtAvgEst1500mts,EducInicPriv_AvgTime_bus,EducInicPriv_AvgTime_walk,EducInicPubl_QtAvgEst2km,EducInicPubl_QtAvgEst800mts,EducInicPubl_QtAvgEst1500mts,EducInicPubl_AvgTime_bus,EducInicPubl_AvgTime_walk,EducPrimPriv_QtAvgEst2km,EducPrimPriv_QtAvgEst800mts,EducPrimPriv_QtAvgEst1500mts,EducPrimPriv_AvgTime_bus,EducPrimPriv_AvgTime_walk,EducPrimPubl_QtAvgEst2km,EducPrimPubl_QtAvgEst800mts,EducPrimPubl_QtAvgEst1500mts,EducPrimPubl_AvgTime_bus,EducPrimPubl_AvgTime_walk,EducSecuPriv_QtAvgEst2km,EducSecuPriv_QtAvgEst800mts,EducSecuPriv_QtAvgEst1500mts,EducSecuPriv_AvgTime_bus,EducSecuPriv_AvgTime_walk,EducSecuPubl_QtAvgEst2km,EducSecuPubl_QtAvgEst800mts,EducSecuPubl_QtAvgEst1500mts,EducSecuPubl_AvgTime_bus,EducSecuPubl_AvgTime_walk,SaluAtenPrim_QtAvgEst2km,SaluAtenPrim_QtAvgEst800mts,SaluAtenPrim_QtAvgEst1500mts,SaluAtenPrim_AvgTime_bus,SaluAtenPrim_AvgTime_walk,SaluHosp_QtAvgEst2km,SaluHosp_QtAvgEst800mts,SaluHosp_QtAvgEst1500mts,SaluHosp_AvgTime_bus,SaluHosp_AvgTime_walk,IndiAcce,Verde_m2habitante800m,Verde_m2habitante1500m,Verde_m2habitante2000m,city
8a8f76d6ca9ffff,108.0,1.5331106062383553,17656.0,,5 - Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c1b7fff,36.0,5.331530219957635,17657.0,,5 - Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c58ffff,80.0,-0.3396125967083622,17658.0,,3 - Medio,2 - Medio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c32ffff,170.0,-2.1442135279175845,17656.0,,1 - Alto,1 - Alto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6cadffff,176.0,-1.8586751511401156,17656.0,,1 - Alto,1 - Alto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c22ffff,58.0,-2.1321940213934707,17656.0,,1 - Alto,1 - Alto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c277fff,168.0,-0.8911681741557147,17656.0,,2 - Medio-Alto,1 - Alto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c45ffff,23.0,2.8229579090411163,17658.0,,5 - Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c4d7fff,22.0,3.732883522321544,17659.0,,5 - Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c76ffff,20.0,-0.45701865228739075,17657.0,,3 - Medio,2 - Medio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6ccf7fff,25.0,4.981319537164489,17657.0,,5 - Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6cb17fff,3.0,4.363778997550844,17655.0,,5 - Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c4f7fff,4.0,5.099911878410969,17658.0,,5 - Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c647fff,4.0,1.996554353664028,17658.0,,5 - Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c44ffff,26.0,1.5144448149840057,17658.0,,5 - Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c12ffff,63.0,1.1944540626962292,17656.0,,5 - Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6cd2ffff,25.0,2.782031172390051,17656.0,,5 - Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c087fff,104.0,0.4083651884463595,17657.0,,4 - Medio-Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6ccdffff,38.0,6.056783050622547,17657.0,,5 - Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c067fff,162.0,1.4362668441366062,17656.0,,5 - Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c59ffff,41.0,0.1518238243156312,17658.0,,4 - Medio-Bajo,2 - Medio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c95ffff,23.0,1.3189686431070742,17655.0,,5 - Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c2f7fff,50.0,2.322387064717377,17657.0,,5 - Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c597fff,21.0,-2.03358410406259,17658.0,,1 - Alto,1 - Alto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6caa7fff,24.0,3.558331761492513,17656.0,,5 - Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6cc47fff,29.0,2.718655002214592,17656.0,,5 - Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c09ffff,30.0,-0.017266816060474238,17657.0,,3 - Medio,2 - Medio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6cd37fff,62.0,2.8528070603731135,17656.0,,5 - Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c8c7fff,40.0,2.7315778905873165,17656.0,,5 - Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6cb57fff,34.0,3.752960144115185,17655.0,,5 - Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c91ffff,29.0,0.6063306039509039,17655.0,,4 - Medio-Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c20ffff,20.0,0.21937806115199093,17657.0,,4 - Medio-Bajo,2 - Medio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c49ffff,22.0,4.332479062171112,17659.0,,5 - Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c8a7fff,20.0,1.8060703354919458,17655.0,,5 - Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c5b7fff,59.0,-1.6076847493963407,17658.0,,1 - Alto,1 - Alto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c35ffff,91.0,-2.532167969154767,17656.0,,1 - Alto,1 - Alto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6cb4ffff,39.0,2.8078082435522673,17655.0,,5 - Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
8a8f76d6c4affff,29.0,0.4312821550082836,17658.0,,4 - Medio-Bajo,3 - Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca
